StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX
110,0,198611,2.94,41.4,3.38,3.38,2.99,3.38,25,561,1.17,1.41,2.08,1.95,0.93,0.3,0.49,31.44,51.33
110,0,198612,2,34.43,3.61,3.61,1.73,3.61,9,796,-0.67,0.4,0.8,1.41,0.97,0.56,0.37,25.14,43.72
110,0,198701,2.17,31.44,3.8,3.8,1.69,3.8,5,917,-0.17,-0.59,0.23,1.31,1.07,0.85,0.56,21.36,41.52
110,0,198702,2.33,37.38,3.62,3.62,0.64,3.62,7,709,0.49,0.17,-0.28,1.34,1.26,0.63,0.61,27.16,47.62
110,0,198703,2.67,42.57,0.04,3.29,0.12,3.28,13,578,0.41,0.61,0.36,0.83,1.34,0.99,0.67,31.24,53.87
110,0,198704,1.46,53.53,-1.26,1.69,-3.78,0.11,22,315,-2.75,-1.34,-0.77,-0.24,0.79,0.66,0.54,39.38,67.66
110,0,198705,3.24,62.96,-1.33,1.32,-0.6,-0.46,127,117,0.67,-1.06,-0.56,-0.61,0.82,0.77,0.69,50.54,75.36
110,0,198706,2.81,70.25,-1.47,0.91,-0.83,-1.09,240,23,-0.35,0.22,-0.93,-0.49,0.12,0.66,0.76,57.22,83.28
110,0,198707,2.83,73.27,-1.48,0.65,-0.49,-1.39,329,10,0.08,-0.21,0.17,-0.39,-0.18,0.67,0.8,60.69,85.82
110,0,198708,2.74,71.87,-1.28,0.63,0.14,-1.21,299,16,0.34,0.21,-0.05,-0.49,-0.53,0.65,0.75,59.14,84.6
110,0,198709,2.19,65.25,-1.49,-1.49,-1.03,-1.49,155,65,-0.66,-0.29,-0.2,-0.79,-0.51,0.01,0.52,51.78,78.71
110,0,198710,1.15,52.95,-2.12,-2.12,-2.33,-2.12,40,345,-1.89,-1.65,-1.34,-0.75,-0.96,-0.71,-0.07,39,66.9
110,0,198711,2.55,43.97,-2.03,-2.03,-0.39,-2.03,15,501,0.54,-0.84,-0.93,-0.73,-0.86,-0.88,-0.35,33.13,54.81
110,0,198712,2.87,34.54,-1.75,-1.75,0.21,-1.58,8,777,0.89,0.92,-0.21,-0.29,-0.66,-0.51,0.11,25.18,43.92
110,0,198801,1.97,27.79,-1.79,-1.79,-0.65,-1.79,5,998,-0.57,0.24,0.49,-0.48,-0.28,-0.56,0.25,17.44,38.14
110,0,198802,1.52,33.69,-1.99,-1.99,-1.17,-1.99,5,768,-1.41,-1.43,-0.45,-0.96,-0.8,-0.9,-0.1,21.72,45.64
110,0,198803,2.04,42.4,-2.38,-2.38,-1.77,-2.38,13,593,-0.98,-1.75,-1.81,-1.12,-0.96,-1.14,-0.08,29.89,54.91
110,0,198804,2.32,51.82,-2.36,-2.36,-0.68,-2.36,28,349,-0.43,-0.92,-1.71,-0.48,-1.12,-0.81,-0.05,38.34,65.28
110,0,198805,2.07,61.21,-3.01,-3.01,-2.66,-3.01,91,146,-1.88,-1.59,-1.69,-1.44,-1.59,-1.3,-0.33,47.48,74.95
110,0,198806,1.61,70.88,-4.27,-4.27,-4.72,-4.27,215,33,-2.66,-2.79,-2.48,-2.63,-1.98,-1.74,-0.72,56.7,85.03
110,0,198807,2.7,74.79,-4.78,-4.78,-2.86,-4.78,356,4,-0.28,-2,-2.24,-2.21,-1.54,-1.74,-0.75,61.38,88.18
110,0,198808,2.57,73.67,-4.99,-4.99,-2.11,-4.99,343,7,-0.12,-0.35,-1.8,-1.96,-1.82,-1.84,-0.82,60.46,86.86
110,0,198809,2.81,64.6,-4.24,-4.24,0.71,-3.92,150,76,0.71,0.44,0.22,-1.6,-2.05,-1.64,-1.06,51.6,77.61
110,0,198810,1.43,53.96,-4.47,-4.47,-2,-4.47,46,347,-1.36,-0.56,-0.57,-1.85,-2.05,-1.6,-1.49,40.89,67.01
110,0,198811,3.17,43.29,-3.67,-3.67,1.01,-3.23,20,513,1.54,0.2,0.43,-0.72,-1.26,-1.32,-1.41,32.52,54.05
110,0,198812,1.69,33.46,-4.01,-4.01,-2.14,-4.01,6,828,-1.23,0.31,-0.45,-0.26,-1.34,-1.78,-1.52,22.41,44.51
110,0,198901,2.05,34.09,-4.25,-4.25,-1.97,-4.25,15,785,-0.4,-1.13,0.05,-0.33,-1.38,-1.65,-1.47,23.04,45.14
110,0,198902,2.01,29.17,-3.82,-3.82,-0.03,-3.78,7,822,-0.22,-0.49,-1.21,-0.35,-1.09,-1.49,-1.57,18.81,39.54
110,0,198903,2.91,42.67,-3.15,-3.15,0.84,-2.72,20,595,0.87,0.5,0.13,-0.29,-0.17,-1.16,-1.43,30.9,54.46
110,0,198904,1.79,52.88,-3.69,-3.69,-2.59,-3.69,37,343,-1.78,-0.38,-0.42,-0.21,-0.5,-1.44,-1.35,39.81,65.93
110,0,198905,3.26,60.46,0.28,-3.03,0.83,-2.65,93,172,0.7,-0.51,0.06,-0.73,-0.27,-0.91,-1.32,47.73,73.17
110,0,198906,3.8,68.13,1.21,-1.76,2.88,-0.2,207,35,2.13,1.64,0.46,0.35,-0.04,0.02,-1.09,55.65,80.6
110,0,198907,2.86,74.23,1.62,-1.04,1.62,1.08,314,7,0.17,1.47,1.42,0.51,0.39,0.07,-1.1,61.43,87.03
110,0,198908,2.73,71.31,1.92,1.92,1.41,1.92,264,17,0.31,0.25,1.38,0.7,-0.06,0.16,-1.11,59,83.61
110,0,198909,2.68,64.08,2.07,2.07,1.04,2.07,138,77,0.42,0.48,0.47,0.57,0.49,0.09,-1.01,51.19,76.95
110,0,198910,1.89,54.34,-0.17,1.69,-0.5,1.39,48,264,-0.53,-0.17,-0.05,0.83,0.37,0.32,-0.84,41.16,67.51
110,0,198911,1.73,42.93,-0.65,1.02,-1.49,-0.02,17,542,-0.84,-0.93,-0.56,0.19,0.12,-0.35,-1.06,31.03,54.82
110,0,198912,1.34,27.73,-1.54,-1.54,-2.86,-1.54,2,1057,-1.86,-1.81,-1.65,-0.97,-0.55,-0.49,-1.5,16.57,38.89
110,0,199001,2.79,36.5,-1.69,-1.69,-0.95,-1.69,15,727,0.95,-0.64,-0.95,-0.67,0.08,-0.15,-1.18,25.83,47.16
110,0,199002,2.68,36.7,0.58,-0.94,1.75,0.01,15,650,1.2,1.49,0.07,-0.39,0.17,0.12,-0.84,25.23,48.15
110,0,199003,2.71,44.74,0.39,-0.97,-0.39,-0.2,21,532,0.48,1.11,1.45,-0.37,-0.13,0.05,-0.63,33.37,56.12
110,0,199004,2.49,52.52,0.21,-1.02,-0.44,-0.41,30,325,-0.04,0.32,0.87,-0.12,-0.16,0.41,-0.59,40.01,64.99
